2025-08-13 22:35:43,972 | src.data.dataset | INFO | info:51 | Found separate images and labels folders
2025-08-13 22:35:43,978 | src.data.dataset | INFO | info:51 | Found 1 valid image-label pairs
2025-08-13 22:35:43,978 | src.data.dataset | INFO | info:51 | Dataset initialized with 1 images
2025-08-13 22:43:14,852 | src.data.dataset | INFO | info:51 | Found separate images and labels folders
2025-08-13 22:43:14,861 | src.data.dataset | INFO | info:51 | Found 7 valid image-label pairs
2025-08-13 22:43:14,862 | src.data.dataset | INFO | info:51 | Using 10.0% of data: 1 images
2025-08-13 22:43:14,862 | src.data.dataset | INFO | info:51 | Dataset initialized with 1 images
2025-08-13 22:43:14,863 | src.data.dataset | INFO | info:51 | Found separate images and labels folders
2025-08-13 22:43:14,865 | src.data.dataset | INFO | info:51 | Found 1 valid image-label pairs
2025-08-13 22:43:14,866 | src.data.dataset | INFO | info:51 | Using 10.0% of data: 1 images
2025-08-13 22:43:14,867 | src.data.dataset | INFO | info:51 | Dataset initialized with 1 images
2025-08-13 22:45:48,410 | src.data.dataset | INFO | info:51 | Found separate images and labels folders
2025-08-13 22:45:48,414 | src.data.dataset | INFO | info:51 | Found 7 valid image-label pairs
2025-08-13 22:45:48,414 | src.data.dataset | INFO | info:51 | Using 10.0% of data: 1 images
2025-08-13 22:45:48,414 | src.data.dataset | INFO | info:51 | Dataset initialized with 1 images
2025-08-13 22:45:48,415 | src.data.dataset | INFO | info:51 | Found separate images and labels folders
2025-08-13 22:45:48,416 | src.data.dataset | INFO | info:51 | Found 1 valid image-label pairs
2025-08-13 22:45:48,417 | src.data.dataset | INFO | info:51 | Using 10.0% of data: 1 images
2025-08-13 22:45:48,417 | src.data.dataset | INFO | info:51 | Dataset initialized with 1 images
2025-08-13 22:49:54,224 | src.data.dataset | INFO | info:51 | Found separate images and labels folders
2025-08-13 22:49:54,227 | src.data.dataset | INFO | info:51 | Found 2 valid image-label pairs
2025-08-13 22:49:54,227 | src.data.dataset | INFO | info:51 | Dataset initialized with 2 images
