2025-08-13 22:41:31,541 | src.training.lightning_module | INFO | info:51 | Lightning module initialized with 3 classes
2025-08-13 22:41:31,542 | src.training.lightning_module | INFO | info:51 | Input size: 640x640
2025-08-13 22:41:31,543 | src.training.lightning_module | INFO | info:51 | Learning rate: 0.01
2025-08-13 22:42:38,951 | src.training.lightning_module | INFO | info:51 | Lightning module initialized with 3 classes
2025-08-13 22:42:38,953 | src.training.lightning_module | INFO | info:51 | Input size: 640x640
2025-08-13 22:42:38,954 | src.training.lightning_module | INFO | info:51 | Learning rate: 0.01
2025-08-13 22:43:15,080 | src.training.lightning_module | INFO | info:51 | Lightning module initialized with 3 classes
2025-08-13 22:43:15,081 | src.training.lightning_module | INFO | info:51 | Input size: 640x640
2025-08-13 22:43:15,082 | src.training.lightning_module | INFO | info:51 | Learning rate: 0.0003
2025-08-13 22:43:37,489 | src.training.lightning_module | INFO | info:51 | Epoch 0 - Average validation loss: 7.2436
2025-08-13 22:43:37,688 | src.training.lightning_module | INFO | info:51 | Training started with model: 744,952 parameters
2025-08-13 22:43:52,238 | src.training.lightning_module | INFO | info:51 | Epoch 0 - Average validation loss: 7.2300
2025-08-13 22:43:52,390 | src.training.lightning_module | INFO | info:51 | Epoch 0 - Average training loss: 8.9811
2025-08-13 22:45:48,589 | src.training.lightning_module | INFO | info:51 | Lightning module initialized with 3 classes
2025-08-13 22:45:48,591 | src.training.lightning_module | INFO | info:51 | Input size: 640x640
2025-08-13 22:45:48,592 | src.training.lightning_module | INFO | info:51 | Learning rate: 0.0003
2025-08-13 22:45:56,347 | src.training.lightning_module | INFO | info:51 | Epoch 0 - Average validation loss: 7.0653
2025-08-13 22:45:56,373 | src.training.lightning_module | INFO | info:51 | Training started with model: 744,952 parameters
2025-08-13 22:46:00,083 | src.training.lightning_module | INFO | info:51 | Epoch 0 - Average validation loss: 7.0641
2025-08-13 22:46:00,118 | src.training.lightning_module | INFO | info:51 | Epoch 0 - Average training loss: 9.4845
2025-08-13 22:46:04,764 | src.training.lightning_module | INFO | info:51 | Epoch 1 - Average validation loss: 7.0523
2025-08-13 22:46:04,807 | src.training.lightning_module | INFO | info:51 | Epoch 1 - Average training loss: 8.8115
